Type,Title,Provider,Skills,Duration,Description
Certification,Certified ScrumMaster (CSM),Scrum Alliance,"Agile Methodology, Scrum Practices, Team Management",Self-paced,"Validates understanding of Scrum principles and practices for Agile project management."
Course,SQL for Data Science,Coursera,"SQL, Data Analysis",4 weeks,"Teaches SQL concepts and queries for analyzing data."
Certification,PMP: Project Management Professional,Project Management Institute,"Project Management, Risk Assessment, Planning",Self-paced,"Recognizes expertise in project management with a focus on processes, skills, and tools."
Course,Introduction to Artificial Intelligence,Udacity,"AI Fundamentals, Search Algorithms, Game Theory",10 weeks,"Covers basics of artificial intelligence, including search algorithms and problem-solving techniques."
Certification,ITIL Foundation,Axelos,"IT Service Management, IT Operations, Processes",Self-paced,"Provides foundational knowledge of IT service management using ITIL framework."
Certification,AWS Certified Developer – Associate,AWS,"Cloud Development, AWS Services, Application Deployment",Self-paced,"Validates skills in developing, deploying, and debugging cloud-based applications using AWS."
Course,Advanced Data Structures and Algorithms,Udemy,"Data Structures, Algorithms, Problem-Solving",15 hours,"Covers advanced data structures and algorithms for coding interviews and competitive programming."
Certification,Google Professional Cloud Security Engineer,Google Cloud,"Cloud Security, Compliance, Risk Management",Self-paced,"Validates ability to configure cloud security, identify vulnerabilities, and ensure compliance with cloud security best practices."
Course,Modern React with Redux,Udemy,"React, Redux, Frontend Development",25 hours,"Teaches modern React and Redux techniques for building robust web applications."
Certification,Certified Blockchain Developer (CBD),Blockchain Council,"Blockchain, Smart Contracts, DApp Development",Self-paced,"Recognizes expertise in blockchain development, covering smart contracts, dApps, and blockchain fundamentals."
Course,AI for Everyone,Coursera,"AI Fundamentals, Applications, AI Ethics",6 weeks,"Introduces AI concepts and applications for non-technical professionals."
Certification,Microsoft Power BI Data Analyst,Microsoft,"Data Visualization, Power BI, Data Modeling",Self-paced,"Validates skills in analyzing data and creating compelling visualizations using Power BI."
Course,Computer Vision Fundamentals,Udacity,"Image Processing, Neural Networks, OpenCV",8 weeks,"Teaches the fundamentals of computer vision using modern libraries like OpenCV and TensorFlow."
Certification,Certified Kubernetes Security Specialist (CKS),Cloud Native Computing Foundation,"Kubernetes Security, Container Management, Threat Mitigation",Self-paced,"Validates the knowledge and skills required to secure container-based applications and Kubernetes platforms."
Course,Intro to TensorFlow for Deep Learning,Udacity,"TensorFlow, Neural Networks, Deep Learning",10 weeks,"Covers the basics of TensorFlow and building deep learning models."
Certification,Microsoft Certified: DevOps Engineer Expert,Microsoft,"CI/CD, Infrastructure Automation, Monitoring",Self-paced,"Validates skills in DevOps processes, including CI/CD, automation, and collaboration in development environments."
Course,Introduction to Natural Language Processing (NLP),Coursera,"NLP, Text Processing, Machine Learning",6 weeks,"Covers the fundamentals of NLP, including tokenization, POS tagging, and sentiment analysis."
Certification,Certified Data Management Professional (CDMP),DAMA International,"Data Governance, Data Architecture, Data Management",Self-paced,"Recognizes expertise in managing and governing organizational data effectively."
Course,Introduction to Docker and Kubernetes,Pluralsight,"Containerization, Kubernetes, DevOps",8 hours,"Introduces Docker and Kubernetes concepts for container orchestration and deployment."
Certification,SAS Certified Data Scientist,SAS,"Data Science, Machine Learning, Predictive Modeling",Self-paced,"Validates skills in using SAS for data analysis, predictive modeling, and machine learning."
Course,Applied Data Science with Python Specialization,Coursera,"Pandas, Matplotlib, Scikit-learn",6 months,"Teaches data science concepts and applications using Python libraries like pandas, matplotlib, and scikit-learn."
Certification,Google Professional Machine Learning Engineer,Google Cloud,"ML Models, Cloud ML Pipelines, Model Optimization",Self-paced,"Validates skills in designing, building, and deploying machine learning models in production environments using Google Cloud."
Course,DevOps on AWS,Udemy,"AWS DevOps, CI/CD, Automation",12 hours,"Covers DevOps practices for AWS, including infrastructure automation and CI/CD pipelines."
Certification,Certified Internet of Things Practitioner (CIoTP),CertNexus,"IoT Fundamentals, Sensors, Data Management",Self-paced,"Validates knowledge of IoT systems, protocols, and data management."
Course,Introduction to Quantum Computing,edX,"Quantum Mechanics, Qubits, Quantum Algorithms",10 weeks,"Covers the basics of quantum computing and its applications in various industries."
Certification,Professional Scrum Master (PSM),Scrum.org,"Agile Methodology, Scrum Practices, Team Leadership",Self-paced,"Validates knowledge of Scrum practices and ability to lead Agile teams effectively."
Course,Introduction to Big Data,edX,"Big Data, Data Processing, Hadoop",5 weeks,"Covers fundamental concepts of big data and tools for processing large datasets."
Certification,Certified Cloud Security Professional (CCSP),(ISC)²,"Cloud Security, Risk Management, Identity Management",Self-paced,"Validates skills in securing cloud environments and managing cloud-based risks."
Course,Introduction to Programming with Python,Udemy,"Python, Problem-Solving, Programming Basics",30 hours,"Teaches Python programming fundamentals and basic problem-solving skills."
Certification,Certified Ethical Hacker (CEH),EC-Council,"Penetration Testing, Ethical Hacking, Cybersecurity",Self-paced,"Validates the knowledge required to identify and exploit vulnerabilities in systems using ethical hacking techniques."
Course,Machine Learning Specialization,Coursera,"Machine Learning, Data Science, Deep Learning",3 months,"A comprehensive series to understand and apply machine learning and deep learning techniques."
Certification,Google Professional Cloud Architect,Google Cloud,"Cloud Architecture, Infrastructure Design, Security",Self-paced,"Validates expertise in designing, developing, and managing Google Cloud infrastructure and applications."
Course,Mastering Kubernetes,Udemy,"Kubernetes, Container Orchestration, DevOps",12 hours,"Covers essential concepts and tools needed to deploy and manage Kubernetes clusters."
Certification,Certified Big Data Professional (CBDP),DASCA,"Big Data, Data Analytics, Hadoop",Self-paced,"Validates comprehensive knowledge of big data systems and technologies like Hadoop and Spark."
Course,Advanced SQL for Data Scientists,DataCamp,"SQL, Data Analysis, Database Management",5 hours,"Teaches advanced SQL concepts and techniques to solve data science problems efficiently."
Certification,AWS Certified Solutions Architect – Professional,AWS,"Cloud Architecture, AWS Services, Infrastructure Design",Self-paced,"Validates expertise in designing complex cloud systems using AWS."
Course,Full Stack Web Development with React and Node.js,freeCodeCamp,"React, Node.js, Web Development",14 hours,"Comprehensive course to build full-stack applications using React for frontend and Node.js for backend."
Certification,Google Associate Cloud Engineer,Google Cloud,"Cloud Computing, Cloud Infrastructure",Self-paced,"Validates entry-level cloud engineering skills including cloud management and configuration on Google Cloud."
Course,Deep Learning with PyTorch and TensorFlow,Udacity,"Deep Learning, PyTorch, TensorFlow, Neural Networks",12 weeks,"A deep dive into deep learning techniques using PyTorch and TensorFlow."
Certification,Microsoft Certified: Azure Fundamentals,Microsoft,"Cloud Computing, Azure Services, Cloud Architecture",Self-paced,"Validates foundational knowledge of Azure cloud services and how to deploy solutions on Microsoft Azure."
Course,Data Science and Machine Learning Bootcamp with R,Udemy,"Data Science, Machine Learning, R",32 hours,"Covers data science and machine learning applications using R."
Certification,Certified Data Analyst (CDA),Data Analyst Certification,"Data Analytics, SQL, Data Visualization",Self-paced,"Validates skills in data analysis using SQL and data visualization tools like Tableau and Power BI."
Course,Advanced Python Programming,Udemy,"Python, Object-Oriented Programming, Algorithms",15 hours,"Covers advanced Python programming concepts, including object-oriented programming and design patterns."
Certification,Certified Cloud Practitioner,AWS,"Cloud Computing, AWS Essentials, Cloud Services",Self-paced,"A foundational cloud certification validating the knowledge of AWS Cloud services and solutions."
Course,The Complete 2023 Web Development Bootcamp,Udemy,"Web Development, HTML, CSS, JavaScript",40 hours,"Comprehensive course on web development, teaching HTML, CSS, and JavaScript for building full-fledged websites."
Certification,Oracle Cloud Infrastructure Architect Associate,Oracle,"Cloud Infrastructure, Cloud Design",Self-paced,"Validates expertise in Oracle Cloud Infrastructure design, deployment, and management."
Course,Introduction to Data Science in Python,Coursera,"Data Science, Python, Pandas",6 weeks,"Teaches the fundamentals of data science using Python libraries like pandas and numpy."
Certification,Certified Information Systems Auditor (CISA),ISACA,"Information Systems Audit, Governance, Security",Self-paced,"Validates skills in auditing, controlling, and securing information systems."
Course,Python for Data Science and Machine Learning Bootcamp,Udemy,"Python, Machine Learning, Data Science",25 hours,"Comprehensive course covering Python for data science, machine learning, and deep learning."
Certification,Google Professional Cloud Developer,Google Cloud,"Cloud Development, Cloud APIs, Application Deployment",Self-paced,"Validates skills in developing applications on Google Cloud using various Google Cloud tools and services."
Course,Building Web Applications with Django and React,Udemy,"Django, React, Web Development",30 hours,"A hands-on course on building full-stack web applications using Django for the backend and React for the frontend."
Certification,Certified Business Analysis Professional (CBAP),IIBA,"Business Analysis, Requirements Management, Strategic Planning",Self-paced,"Validates expertise in business analysis, strategic planning, and requirements management."
Certification,Certified Software Development Professional (CSDP),IEEE,"Software Development, Programming, Systems Engineering",Self-paced,"Validates advanced knowledge in software development, programming, and systems engineering."
Course,Machine Learning A-Z™: Hands-On Python & R In Data Science,Udemy,"Machine Learning, Python, R",20 hours,"Comprehensive machine learning course covering algorithms, data preprocessing, and model building using Python and R."
Certification,Certified Artificial Intelligence (AI) Professional,AI Institute,"Artificial Intelligence, Machine Learning, Data Science",Self-paced,"Recognizes expertise in AI and machine learning, including deep learning and neural networks."
Course,The Complete Node.js Developer Course,Udemy,"Node.js, Backend Development, APIs",30 hours,"Teaches Node.js for building scalable and efficient server-side applications, including RESTful APIs."
Certification,Certified Scrum Product Owner (CSPO),Scrum Alliance,"Agile Methodology, Scrum Framework, Product Management",Self-paced,"Validates knowledge of the Scrum framework, focusing on product ownership and management."
Course,Advanced CSS and Sass: Flexbox, Grid, Animations,Udemy,"CSS, Sass, Web Design",20 hours,"Teaches advanced CSS techniques including Flexbox, Grid, and animations for modern web design."
Certification,Certified IoT Professional (CIoTP),CertNexus,"Internet of Things, IoT Architecture, Networking",Self-paced,"Validates skills in designing, implementing, and managing IoT systems across various industries."
Course,Introduction to TensorFlow,Coursera,"TensorFlow, Neural Networks, Deep Learning",4 weeks,"Teaches the basics of TensorFlow for creating machine learning and deep learning models."
Certification,Microsoft Certified: Power Platform App Maker Associate,Microsoft,"Power Apps, Power Automate, App Development",Self-paced,"Validates skills in designing and implementing low-code applications using Microsoft Power Platform."
Course,Introduction to Python Programming,Udemy,"Python, Programming Fundamentals, Problem Solving",15 hours,"Covers the basics of Python programming, including loops, functions, and error handling."
Certification,Certified Ethical Hacker Master (CEH Master),EC-Council,"Penetration Testing, Ethical Hacking, Vulnerability Assessment",Self-paced,"Recognizes advanced skills in ethical hacking, penetration testing, and network security."
Course,Advanced Machine Learning Specialization,Coursera,"Machine Learning, Neural Networks, Advanced Algorithms",4 months,"Covers advanced machine learning techniques, including deep learning, reinforcement learning, and unsupervised learning."
Certification,CompTIA Network+,CompTIA,"Network Fundamentals, Network Troubleshooting, Network Security",Self-paced,"Validates networking skills, including network management, security, and troubleshooting."
Course,Frontend Web Development with React,Udacity,"React, Web Development, JavaScript",12 weeks,"Teaches React development for building dynamic, responsive web applications with modern JavaScript."
Certification,Certified Data Engineer,Google Cloud,"Data Engineering, Cloud Computing, Data Pipeline",Self-paced,"Validates skills in building, managing, and optimizing data pipelines in cloud environments."
Course,Introduction to Data Visualization with Python,DataCamp,"Data Visualization, Python, Seaborn",4 hours,"Teaches data visualization techniques using Python and the Seaborn library."
Certification,Microsoft Certified: Azure Data Scientist Associate,Microsoft,"Azure, Data Science, Machine Learning",Self-paced,"Validates skills in applying data science techniques on Microsoft Azure."
Course,Building Web Applications with Angular,Udemy,"Angular, Web Development, TypeScript",30 hours,"Teaches Angular development for building rich, interactive web applications with TypeScript."
Certification,Certified Cloud Security Specialist (CCSS),Cloud Security Alliance,"Cloud Security, Data Protection, Risk Management",Self-paced,"Recognizes expertise in cloud security, focusing on data protection and risk management."
Course,Advanced React and Redux,Udemy,"React, Redux, Frontend Development",20 hours,"Teaches advanced concepts of React and Redux for building high-performance web applications."
Certification,Google Associate Android Developer,Google,"Android Development, Java, Mobile Apps",Self-paced,"Validates entry-level Android development skills in building and deploying mobile apps."
Course,Deep Learning with Keras and TensorFlow,Udemy,"Deep Learning, Keras, TensorFlow",15 hours,"Teaches deep learning with Keras and TensorFlow for building neural networks and complex models."
Certification,Certified Information Privacy Professional (CIPP),IAPP,"Data Privacy, Risk Management, GDPR",Self-paced,"Validates expertise in data privacy and security regulations like GDPR."
Course,Data Engineering on Google Cloud,Coursera,"Data Engineering, Google Cloud, Big Data",4 months,"Teaches data engineering concepts and tools for managing and analyzing big data on Google Cloud."
Certification,Amazon Certified Cloud Practitioner,AWS,"Cloud Fundamentals, AWS Services, Cloud Management",Self-paced,"Provides a foundational understanding of AWS cloud technologies and services."
Course,Full-Stack Web Development with Vue.js,Udemy,"Vue.js, Web Development, Frontend",25 hours,"Teaches how to build modern web applications using Vue.js for the frontend."
Certification,Oracle Certified Professional (OCP),Oracle,"Database Management, SQL, Oracle Cloud",Self-paced,"Recognizes expertise in managing databases, SQL optimization, and Oracle Cloud technologies."
Course,Advanced Machine Learning with TensorFlow on Google Cloud,Coursera,"Machine Learning, TensorFlow, Google Cloud",4 months,"Teaches advanced machine learning concepts and how to deploy models using TensorFlow on Google Cloud."
Certification,Microsoft Certified: Azure Fundamentals,Microsoft,"Cloud Services, Azure Platform, Cloud Solutions",Self-paced,"Provides fundamental knowledge of Microsoft Azure services, deployments, and cloud architecture."
Course,Fundamentals of Computer Networking,Udacity,"Networking, Protocols, TCP/IP",10 weeks,"Covers networking fundamentals including protocols, IP addressing, and subnetting."
Certification,Certified Big Data Engineer,Cloudera,"Big Data, Hadoop, Spark",Self-paced,"Validates skills in managing big data systems, including Hadoop and Spark."
Course,Machine Learning with Python,Udemy,"Machine Learning, Python, SciKit-Learn",20 hours,"Covers machine learning algorithms, data preprocessing, and evaluation using Python and SciKit-Learn."
Certification,Certified Cloud Architect,Google Cloud,"Cloud Infrastructure, Cloud Architecture, Deployment",Self-paced,"Validates expertise in designing and implementing cloud solutions using Google Cloud."
Course,Web Development with Python and Django,Udemy,"Django, Python, Web Development",30 hours,"Covers full-stack web development using Django for the backend and Python for data processing."
Certification,Google Professional Data Engineer,Google Cloud,"Data Engineering, Data Analytics, Google Cloud",Self-paced,"Validates expertise in managing data processing systems on Google Cloud."
Course,Introduction to JavaScript,Udemy,"JavaScript, Programming Fundamentals, Web Development",15 hours,"Teaches JavaScript fundamentals for building interactive websites and web applications."
Certification,Certified Ethical Hacker (CEH),EC-Council,"Ethical Hacking, Penetration Testing, Network Security",Self-paced,"Recognizes expertise in identifying and exploiting vulnerabilities in networks using ethical hacking techniques."
